reference plan,plan,route,vehicle,order,stop type,active,wait,time,distance,drive time,out of visit time window,out of capacity,out of vehicle time shift,out of work time,maximum achievable distance,status,eta,reference,name,street,detail,postalcode,city,country,lat,lng,comment,phone,tags,reference visit,duration,open 1,close 1,open 2,close 2,priority,tags visit,quantity[colis],operation[colis]
,MARDI 29.01,,,,visit,,,,,,,,,,,,,SUMY15e,SUMY 15 MIN,Avenue De Béjar 1AE,,1120,neder over hembeek,,50.911114,4.403474,,,Sumy,,0:15:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,SUMY15d,SUMY 25 MIN,Avenue De Béjar 1AE,,1120,neder over hembeek,,50.911067,4.403506,,,Sumy,,0:25:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,,Dats LEUVEN,Groenveldstraat 71,,3001,Leuven,,50.87273,4.68519,,,,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,SUMY15c,SUMY 15 MIN,Avenue De Béjar 1AE,,1120,neder over hembeek,,50.911043,4.403318,,,Sumy,,0:15:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,AAL,TFCO AAL,Molenstraat 22,,9300,Alost,,50.93903,4.04039,fermé lundi.,,TFCO,,0:20:00,,,,,,"TFCO,TFCO",,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,DATSMEL2,DATS MELLE,Brusselsesteenweg 36,,9090,MELLE,,51.02265,3.77486,,,,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,DATSNato,Dats NATO,Oude Hachtsesteenweg 7,,1831,Machelen,,50.89316,4.43101,,,,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,,TFCO ANV BRASSCHAT,212 Bredabaan,,2930,,,51.28897,4.48895,,,,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,,Dats Anderlecht,Chausse de Mons 875,,1070,,,50.828313,4.302198,,,,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,,TFCO ANV VOLK,VOLKSTRAAT 8,,2000,Antwerpen,,51.21187,4.39655,,,TFCO,,0:20:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,885805,RSCA tribune 4,Avenue théo vanbeeck 2,,1070,Anderlecht,,50.83496,4.29849,,,,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,5006225,Pillows Grand Hotel,Place Roupe 17,,1000,Bruxelles,,50.84243,4.3463,Avant 10h30,,,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,,TFCO MA Malines,hoogstraat 66,,2800,,,51.02265,4.47407,,,,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,DATSMAL1,Dats MALINES,Liersesteenweg 351,,2800,Mechelen,,51.0448129,4.477557,,,Dats,,0:10:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,5007701,DXC Malines,Blarenberglaan 2,,2800,Malines,,51.0537599,4.44797,,,,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,357715a,OCEAN MAREE,Quai de l' Industrie 214,,,,,50.83987,4.32004,,,,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,357715b,OCEAN MAREE,Quai de l' Industrie 214,,1070,Anderlecht,,50.83987,4.32004,,,,,0:30:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,BRG,TFCO BRG Brugge,Smedenstraat 36,,8000,brugge,,51.20564,3.21504,Fermé lundi et mardi + Livraison entre 19h et 6h,,TFCO,,0:20:00,,,,,,"TFCO,TFCO",,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,357715c,OCEAN MAREE,Quai de l' Industrie 214,,1070,Anderlecht,,50.83987,4.32004,,,,,0:30:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,,FARM BASCULE,Rue Vanderkindere 546,,,,,50.814585,4.365606,,,,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,504263b,OTAN/ NATO  PROMARITIMES,Avenue du Bourget,,1130,Bruxelles,,50.877383,4.429926,livraison avant 9h30,,,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,Adria,ADRIA KOMBI,Tivolska cesta 50,,1000,Ljubljana,slovenia,46.05742,14.50523,,,SELIS,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,AGF,AU GRAND FORESTIER,Avenue du Grand Forestier 2,,1170,Bruxelles,,50.80392,4.4288,,,Promaritime,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,ANV,TFCO ANV VOLK,VOLKSTRAAT 8,,2000,ANTWERPEN,,51.21187,4.39655,Livraison entre 19h et 6h,,TFCO,,0:20:00,,,,,,"TFCO,TFCO",,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,AUD1,TFCO AUDerghem,Square Jean-Baptiste De Greef 2/4,,1160,Auderghem,,50.82046,4.40897,,,TFCO,,0:15:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,AUDvid,TFCO AUD,Square Jean Baptiste De Greef 2,,1160,AUDERGHEM,,50.82046,4.40897,,,TFCO,,0:20:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,BDS,Banc des Saveurs,Rue du bois de Linthout 9,,1200,Woluwe-saint-lambert,,50.844216,4.412801,,,,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,BDS2,Fish4you,Rue Vanderkindere 153,,1180,Uccle,,50.81378,4.3485699,,0484/888.308,,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,Bia,BIA MARA ANVERS,Maalderijstraat 1-5,,2000,ANTWERPEN,,51.22089,4.40053,,,OM,,0:15:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,Boco,BOCO,Avenue Louise 521,,1000,Bruxelles,,50.81537,4.37178,,02 647 70 54,,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,BRA,TFCO ANV BRASSCHAT,212 Bredabaan,,2930,antwerpen,,51.28897,4.48895,,livraison entre 19h-06h,TFCO,,0:20:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,BRA3,TFCO ANV BRASSCHAT,TFCO ANV BRASSCHAT,,2930,Antwerpen,,51.28758,4.4866,livraison entre 19h-06h,,TFCO,,0:15:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,BRG2,TFCO BRG Brugge,Smedenstraat 36,,8000,Brugge,,51.20564,3.21504,Fermé lundi et mardi + Livraison entre 19h et 6h,,TFCO,,0:15:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,CONEX,CONEX,route de lennik 451,,1070,anderlecht,belgium,50.813566,4.300298,,,SELIS,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,Culinor,CULINOR,Houtstraat 46,Destelbergen,9070,Destelbergen,,51.06797,3.81018,,,,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,DATSAAL,Dats Alost,Brusselse steenweg 45,,9300,Aalst,,50.9322299,4.0574899,,,Dats,,0:10:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,DATSAAL1,Dats Alost,Brusselse steenweg 45,,9300,Aalst,,50.9322299,4.0574899,,,Dats,,0:10:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,DATSAND,Dats Anderlecht 2,Chaussée de Mons 875,,1070,Anderlecht,,50.82815,4.30232,,,Dats,,0:10:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,DATSAND1,Dats Anderlecht,Chaussée de Mons 875,,1070,Anderlecht,,50.82815,4.30232,,,Dats,,0:10:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,DATSAND2,Dats Anderlecht,Chaussée de Mons 875,,1070,Anderlecht,,50.828313,4.302198,,,Dats,,0:10:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,DATSANV,Dats Anvers,Vosseschijnstraat 42,,2030,Anvers,,51.25694,4.41659,,,Dats,,0:10:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,DATSANV1,Dats Anvers,Vosseschijnstraat 42,,2030,Anvers,,51.25694,4.41659,,,Dats,,0:10:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,DATSBRU,Dats Brugge,Bruggestraat 168,,8820,TORHOUT,,51.08252,3.11593,,,Dats,,0:10:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,DATSBRU1,Dats Brugge,Bruggestraat 168,,8820,TORHOUT,,51.08252,3.11593,,,"""""",,0:10:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,DATSGENT,Dats Gand,Wiedauwkaai 104,,9000,Gand,,51.08638,3.72522,,,,,0:10:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,DATSGENT1,Dats Gand,Wiedauwkaai 104,,9000,Gand,,51.08638,3.72522,,,"""""",,0:10:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,DATSGOS1,DATS GOSSELIES,,,6041,gosselies,,50.4686,4.43143,,,,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,DATSIZE,Dats Izegem,Krekelmotestraat 147,,8870,Izegem,,50.92255,3.20958,,,"""""",,0:10:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,DATSKAMP1,DATS KAMPENHOUT,Mechelsesteenweg 65,,1910,Kampenhout,,50.9592,4.58707,,,,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,DATSKAMP2,DATS KAMPENHOUT,Mechelsesteenweg 65,,1910,Kampenhout,,50.9592,4.58707,5 min de TV Bastard,,,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,DATSKOR,Dats Courtrai,Kortrijkstraat 226,,8560,Wevelgem,,50.81237,3.1959399,,,"""""",,0:10:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,DATSKOR1,Dats Courtrai,Kortrijkstraat 226,,8560,Wevelgem,,50.81237,3.1959399,,,"""""",,0:10:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,DATSMEL1,DATS MELLE,Brusselsesteenweg 36,,9090,Melle,,51.02265,3.77486,,,Dats,,0:15:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,DATSNato1,Dats NATO,Oude Hachtsesteenweg 7,,1831,Machelen,,50.89316,4.43101,,,,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,DATSNato2,Dats NATO,Oude Hachtsesteenweg 7,,1831,Machelen,,50.89316,4.43101,,,,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,DATSOVE,Dats Overijse,Brusselsesteenweg 361,,3090,Overijse,,50.78348,4.5058,,,,,0:10:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,DATSOVE1,Dats Overijse,Brusselsesteenweg 361,,3090,Overijse,,50.78348,4.5058,,,Dats,,0:10:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,DatsOve1,Dats Overijse,Brusselsesteenweg 361,,3090,Overijse,,50.78348,4.5058,,,,,0:10:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,DATSWAR,Dats Waregem,Gentseweg 568A,,8793,Sint-Eloois-Vijve,,50.90178,3.40718,,,"""""",,0:10:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,DATSWAR1,Dats Waregem,Gentseweg 568A,,8793,Sint-Eloois-Vijve,,50.90178,3.40718,,,"""""",,0:10:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,DATSWAV,Dats Wavre,Avenue des princes 45,,1300,Wavre,,50.71745,4.61655,,,"""""",,0:10:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,DATSWAV1,Dats Wavre,Avenue des princes 45,,1300,Wavre,,50.71745,4.61655,,,"""""",,0:10:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,DATSZAV1,Dats Zaventem,Leuvensesteenweg 500,,1930,Zaventem,,50.871726,4.476907,,,Dats,,0:10:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,DATSZAV2,Dats Zaventem,Leuvensesteenweg 500,,1930,Zaventem,,50.8718456,4.477108,,,Dats,,0:10:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,FARbs,FARM BASCULE,Rue Vanderkindere 546,,,,,50.814585,4.365606,,,FARM,,0:45:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,FARM COOK3,FARM COOKING,avenue du bois de la cambre 49,,1050,Ixelles,Belgique,50.80935,4.3949999,code volet 1234,Louis 0473 762212,FARM,,0:20:00,,,,,4,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,FARM FC-IXL1,FARM FC-IXL,136 chaussée d'Ixelles,,1050,IXELLES,,50.83424,4.36542,CODE: 125874,,FARM,,0:30:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,FARM FC-IXL,FARM FC-IXL,136 chaussée d'Ixelles,,1050,Ixelles,,50.83424,4.36542,CODE: 125874,,FARM,,0:45:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,FARM FC-IXL2,FARM FC-IXL,chaussée d' ixelles 132,,1050,Ixelles,,50.83442,4.36517,CODE: 125874,,FARM,,0:30:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,FARM TEST1,BRASSERIE DE LA LESSE,Rue du Treux 4,,5580,Rochefort,,50.14018,5.1636,,,,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,FARM TEST2,COULEUR NATURE,Rue de l'Industrie 17/B,,1400,Nivelles,,50.5907,4.35857,,,,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,FARM TEST3,Ethiquable Benelux Fair Trade Fair Taste,Rue du Parc Industriel 60,,4300,Waremme,,50.68868,5.27539,,,,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,FARM TONGRES,FARM TONGRES,AVENUE GEORGES HENRI 513,,1200,woluwe saint lambert,,50.8409199,4.40151,CODE: 176169,,FARM,,0:30:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,FARMbas,FARM BASCULE,Rue Vanderkindere 546,,1180,Uccle,,50.814585,4.365606,"2 clés, code:125874","JEAN- DAVID:0478226148, JEAN BAPTISTE : 0477896815",FARM,,0:30:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,FARMHk2,FARM HANKAR,Chaussée de Wavre 1080,,1160,AUDERGHEM,,50.82346,4.40209,CODE: 9104,,FARM,,0:30:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,FARMhk,FARM HANKAR,Chaussée de Wavre 1080,,1160,AUDERGHEM,,50.82346,4.40209,CODE: 9104,,FARM,,0:30:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,FARMstc,FARM ST CATH,Rue du rouleau 12,,1000,bruxelles,,50.85269,4.3483599,CODE: 181618,,FARM,,0:45:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,FARMstCat3,FARM ST CATH,Rue du rouleau 12,,1000,Bruxelles,,50.85269,4.3483599,CODE: 181618,,FARM,,0:30:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,GEL,TFCO GENT,François Laurentplein 35,,9000,Gent,,51.05074,3.72846,Livraison entre 19h et 6h,,TFCO,,0:30:00,,,,,,"TFCO,TFCO",,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,GEL1,TFCO GENT,François Laurentplein 35,,9000,Gent,,51.05074,3.72846,Livraison entre 19h et 6h,,TFCO,,0:20:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,Grsbch,GROSBUSCH,10-11 Zone d'Activités Economiques Le Triangle Vert,,5691,ellange,luxembourg,49.5135099,6.29793,,,,,0:45:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,IBM,IBM IRELAND,damastown,,,dublin,,53.41595,-6.421146,,,SELIS,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,INL,INLECOM,,"Phoenix House, 24 High St, Wanstead",E11 2AQ,London,England,51.578326,0.025578,,,SELIS,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,ISL,ISL,,Universitätsallee 11,28359,Bremen,allemagne,53.10154,8.86641,"53.103856, 8.853666",,SELIS,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,ISPCG30A,ISPC G 30 min,Ottergemsesteenweg - Zuid 720,,,,,51.016772,3.735706,,,,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,ISPCG30b,ISPC G 30 min,Ottergemsesteenweg - Zuid 720,,,,,51.016772,3.735706,,,,,0:30:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,IVECO1,IVECO EPPEGEM,brusselsesteenweg 185,,1980,eppegem,,50.9688299,4.45545,,,,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,IvecoEP,IVECO EPPEGEM,brusselsesteenweg 185,,1980,eppegem,,50.9688299,4.45545,,,"""""",,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,IvecoGB,IVECO GB,Alfons Gossetlaan 28A B3,,1702,Grimbergen,,50.87353,4.27899,,,"""""",,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,IXL18,TFCO IXL -18°c,Avenue de l'hippodrome 75,,1050,Ixelles,,50.82027,4.37682,Livraison entre 19h et 6h,,TFCO,,0:30:00,,,,,,TFCO,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,IXLvid,TFCO IXL Vidanges,avenue de l'hippodrome 75,,1050,IXELLES,,50.82027,4.37682,,,TFCO,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,JET,TFCO JETte,Chaussée de Wemmel 10,,1090,Jette,,50.87324,4.32529,Livraison entre 19h et 6h,,TFCO,,0:20:00,,,,,,"TFCO,TFCO,TFCO",,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,JET2,TFCO JETTE,Chaussée de Wemmel 10,,1090,JETTE,,50.87324,4.32529,Livraison entre 19h et 6h,,TFCO,,0:15:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,JETvid,TFCO JET Vidanges,chaussée de wemmel 10,,1090,Jette,,50.87324,4.32529,fermé lundi,,TFCO,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,JOS2,JOSEPH 2,Rue du Marteau 29,,1000,Bruxelles,,50.84718,4.37234,,,Promaritime,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,KOR1,TFCO KOR,Doorniksewijk 136,,8500,KORTRIJK,,50.81933,3.26903,fermé le lundi  livraison entre 19h - 06h,,TFCO,,0:20:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,LEU,TFCO LEUVEN,30 Mechelsestraat,,3000,LEUVEN,,50.88075,4.70009,Fermé dimanche et lundi,,TFCO,,0:30:00,,,,,,"TFCO,TFCO",,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,LEU2,TFCO LEUVEN,30 Mechelsestraat,,3000,LEUVEN,,50.88075,4.70009,fermé dimanche et lundi.,,TFCO,,0:15:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,LG,TFCO LIEGE,74 Rue des Guillemins,,4000,liège,,50.628092,5.567225,fermé le lundi,,TFCO,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,LH1,TFCO LH Hulpe,Chaussée de Bruxelles 2,,1310,LA Hulpe,,50.73138,4.4809,fermé le lundi.,,TFCO,,0:20:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,LINDD,LINDD,Kleemstraat 69,,9041,Oostakker,,51.09705,3.75923,Code grille : 1215,,,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,LINDD1,LINDD,Kleemstraat 69,,9041,Oostakker,,51.09705,3.75923,,,,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,Maxi,MaxiPesca,Av. Antoon Van Oss 1/17,,1120,neder over hembeek,,50.9055259,4.4052518,,,,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,MCH,TFCO MA Malines,hoogstraat 66,,2800,malines,,51.02265,4.47407,Fermé lundi et mardi  livraison entre 19h et 6h,,TFCO,,0:20:00,,,,,,"TFCO,TFCO",,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,MCH2,TFCO MA Malines,hoogstraat 66,,2800,MALINES,,51.02265,4.47407,Fermé lundi et mardi  livraison entre 19h et 6h,,TFCO,,0:15:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,Newotan,NEW OTAN (Proma),1 Rue arthur Meas,,1140,Bruxelles,,50.8843699,4.42249,A coté batiment Satka,,Promaritime,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,NosPil1,NOS PILIFS,Trassersweg 347,,1120,Neder over heembeek,,50.90368,4.38881,,,Nos Pilifs,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,NosPil2,NOS PILIFS,Trassersweg 347,,1120,Neder over heembeek,,50.90368,4.38881,,,Nos Pilifs,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,OMLD26ha,OM LD2 6H,Quai de l' Industrie 214,,1070,Anderlecht,,50.83987,4.32004,,,,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,OMLD26hb,OM LD2 6H,Quai de l' Industrie 214,,1070,Anderlecht,,50.83987,4.32004,,,,,6:00:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,OMLD26hc,OM LD2 6H,Quai de l' Industrie 214,,1070,Anderlecht,,50.83987,4.32004,,,,,6:00:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,OVE2,TFCO OVErijse,Brusselsesteenweg 410,,3090,Overijse,,50.78635,4.49995,fermé le lundi,,TFCO,,0:15:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,OVE1,TFCO OVErijse,Brusselsesteenweg 410,,3090,Overijse,,50.78654,4.50019,,,TFCO,,0:20:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,PIZZ,PIZZICATO 2,Boulevard Emile Bockstael 426,,1020,Bruxelles,,50.88397,4.34426,,,Promaritime,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,PROMA,PROMARITIMES,Quai aux Briques 48,,1000,Bruxelles,,50.85221,4.34733,,,Promaritime,,0:15:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,PROMA1,PROMARITIMES,Quai aux Briques 48,,1000,Bruxelles,,50.85221,4.34733,,0486/951876,Promaritime,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,PROMA2,PROMARITIMES,Quai aux Briques 48,,1000,Bruxelles,,50.85221,4.34733,,,Promaritime,,0:15:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,Rob,ROB,Boulevard de la Woluwe 28,,1150,Bruxelles,,50.8373,4.43427,,,Promaritime,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,RSM,RSM,Burgemeester Oudlaan 50,,3062,Rotterdam,hollande,51.918388,4.526204,,,SELIS,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,SAR,SARMED,,,,Athènes,Grèce,38.066727,23.517973,,,SELIS,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,SEN1,TFCO SENEFFE,Rue Jules Bordet 167F,,7180,SENEFFE,,50.505949,4.267287,,,TFCO,,0:30:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,SEN2,TFCO SENEFFE,Rue Jules Bordet 167F,,7180,SENEFFE,,50.505949,4.267287,Livraison entre 19h et 6h,,TFCO,,0:30:00,,,,,,TFCO,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,SEN3,TFCO SENEFFE,Rue Jules Bordet 167F,,7180,SENEFFE,,50.505949,4.267287,Livraison entre 19h et 6h,,TFCO,,0:30:00,,,,,,TFCO,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,SODBOL,Sodexo bolwerlaan,bolwerklaan 21,,1000,bruxelles,,50.8561,4.35677,,,Nos Pilifs,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,SODCDR,Sodexo CDR-CESE,Rue Belliard 99-101,,1040,Bruxelles,,50.840304,4.378256,,,Nos Pilifs,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,SODDRO,Sodexo Leiehome Drongen,Kloosterstraat 9,,9031,Drongen,,51.03849,3.61665,,,Nos Pilifs,,,,,,,,,,
